variable_name,readable_name,definition,description,type,units,allowed_values,value_labels,missing_values,source_or_origin,derivation_or_transformation,validation_rules,notes,review_status
Current Decision Maker,Current decision maker,Decision maker during hospitalization,Primary grouping variable for patient versus surrogate comparisons,categorical,,Unknown | POLST | Surrogate | Patient,,blank,source workbook,converted to ordered categorical,must be one of allowed values,Patient category defines primary subgroup,reviewed
Change from prior decision maker,Change from prior decision maker,Whether decision maker changed from prior documentation,Used in figures,categorical,,observed workbook categories,,blank,source workbook,converted to pandas category,valid observed label,Definition inferred from code,needs_review
Code Status At Hospitalization,Code status at hospitalization,Code status at hospitalization,Used in ACP summary and alluvial context,categorical,,Unknown | Full code | DNR | DNR/DNI,,blank,source workbook,converted to ordered categorical,must be one of allowed values,Definition inferred from code,needs_review
Comfort care,Comfort care,Comfort-care status during hospitalization,Used in hospitalization and ACP summaries,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Definition inferred from code,needs_review
ICU transfer acceptable to patient?,ICU transfer acceptable,Whether ICU transfer was acceptable to patient or decision maker,Used in ACP summary,categorical,,No | Yes,N = No | Y = Yes | blank = Yes,blank,source workbook,recode N/Y/blank,must be No or Yes,Historical blank recode should be reviewed,needs_review
Change in code status from prior ACP on admission,Admission code status change,Whether admission code status changed from prior ACP,Used in ACP summary,categorical,,N/A | No | Yes,N = No | Y = Yes | blank = N/A,blank,source workbook,recode N/Y/blank,must be N/A No or Yes,Definition inferred from code,needs_review
Direct of Change in code status on admit,Direction of admission code status change,Direction of code status change on admission,Used in ACP summary,categorical,,Less | More | No Change or N/A,blank = No Change or N/A,blank,source workbook,recode blank to No Change or N/A,must be one of allowed values,Column name typo preserved from workbook,needs_review
Subsequent changes during hospitalization,Subsequent hospitalization changes,Whether subsequent goals-of-care or code-status changes occurred during hospitalization,Used in ACP summary,categorical,,No | Yes,N = No | Y = Yes | blank = No,blank,source workbook,recode N/Y/blank,must be No or Yes,Definition inferred from code,needs_review
Symptoms prior to admit,Symptoms prior to admit,Any symptoms before admission,Used in symptom comparisons,categorical,,observed workbook categories,,blank,source workbook,converted to pandas category,valid observed label,Definition inferred from code,needs_review
Fever,Fever,Fever symptom indicator,Used in symptom comparisons,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Definition inferred from code,needs_review
SOB,Shortness of breath,Shortness of breath symptom indicator,Used in symptom comparisons,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Definition inferred from code,needs_review
Cough,Cough,Cough symptom indicator,Used in symptom comparisons,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Definition inferred from code,needs_review
Sinus Congestion,Sinus congestion,Sinus congestion symptom indicator,Used in symptom comparisons,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Definition inferred from code,needs_review
Malaise or Fatigue or Weakness,Malaise fatigue or weakness,Malaise fatigue or weakness symptom indicator,Used in symptom comparisons,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Definition inferred from code,needs_review
Diarrhea,Diarrhea,Diarrhea symptom indicator,Used in symptom comparisons,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Definition inferred from code,needs_review
Confusion,Confusion,Confusion symptom indicator,Used in symptom comparisons,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Definition inferred from code,needs_review
Anorexia,Anorexia,Anorexia symptom indicator,Used in symptom comparisons,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Definition inferred from code,needs_review
Myalgias Athralgias,Myalgias arthralgias,Myalgias or arthralgias symptom indicator,Used in symptom comparisons,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Column spelling preserved from workbook,needs_review
HA,Headache,Headache symptom indicator,Used in symptom comparisons,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Abbreviation inferred,needs_review
Sore throat,Sore throat,Sore throat symptom indicator,Used in symptom comparisons,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Definition inferred from code,needs_review
Abdominal pain,Abdominal pain,Abdominal pain symptom indicator,Used in symptom comparisons,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Definition inferred from code,needs_review
SIRS criteria met on admission,SIRS on admission,Whether SIRS criteria were met on admission,Used in symptom and admission comparisons,categorical,,No | Yes,N = No | Y = Yes,blank,source workbook,recode N/Y,must be No or Yes,Definition inferred from code,needs_review
Temp,Temperature,Admission temperature,Used in admission-sign comparisons,float,unspecified,numeric,,blank,source workbook,converted to float,numeric,Units not documented,needs_review
SBP,Systolic blood pressure,Admission systolic blood pressure,Used in admission-sign comparisons,float,mmHg,numeric,,blank,source workbook,converted to float,numeric,Timing inferred from code,needs_review
DBP,Diastolic blood pressure,Admission diastolic blood pressure,Used in admission-sign comparisons,float,mmHg,numeric,,blank,source workbook,converted to float,numeric,Timing inferred from code,needs_review
Pulse,Pulse,Admission pulse,Used in admission-sign comparisons,float,beats per minute,numeric,,blank,source workbook,converted to float,numeric,Timing inferred from code,needs_review
RR,Respiratory rate,Admission respiratory rate,Used in admission-sign comparisons,float,breaths per minute,numeric,,blank,source workbook,converted to float,numeric,Timing inferred from code,needs_review
O2,Oxygen saturation,Admission oxygen saturation,Used in admission-sign comparisons,float,percent,numeric,,blank,source workbook,converted to float,numeric,Meaning inferred from variable name,needs_review
WBC,White blood cell count,Admission white blood cell count,Used in admission-sign comparisons,float,unspecified,numeric,,blank,source workbook,converted to float,numeric,Units not documented,needs_review
SIRS criteria met,SIRS criteria met,Count or indicator of SIRS criteria met,Used as continuous admission-sign comparison,integer,count or indicator,integer,,blank,source workbook,converted to integer,integer,Exact coding not documented,needs_review
Supp O2,Supplemental oxygen,Supplemental oxygen indicator or quantity,Used as continuous admission-sign comparison,integer,unspecified,integer,,blank,source workbook,converted to integer,integer,Exact coding not documented,needs_review
Days after admit test positive,Days after admission test positive,Days from admission to positive COVID test,Derived timing variable,integer,days,integer,,blank,derived,Date of + test minus Admit,integer,Derived in file_to_df,reviewed
MI,Myocardial infarction,Comorbidity indicator for myocardial infarction,Used in comorbidity comparisons,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Label printed as CAD in statistical tests,needs_review
CHF,Congestive heart failure,Comorbidity indicator for congestive heart failure,Used in comorbidity comparisons,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Definition inferred from code,needs_review
PVD,Peripheral vascular disease,Comorbidity indicator for peripheral vascular disease,Used in comorbidity summaries,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Definition inferred from code,needs_review
CVA or TIA,CVA or TIA,Comorbidity indicator for stroke or transient ischemic attack,Used in comorbidity comparisons,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Definition inferred from code,needs_review
Dementia,Dementia,Comorbidity indicator for dementia,Used in comorbidity comparisons,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Definition inferred from code,needs_review
COPD,COPD,Comorbidity indicator for chronic obstructive pulmonary disease,Used in comorbidity summaries,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Definition inferred from code,needs_review
Connective tissue disease,Connective tissue disease,Comorbidity indicator for connective tissue disease,Used in comorbidity summaries,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Definition inferred from code,needs_review
PUD,Peptic ulcer disease,Comorbidity indicator for peptic ulcer disease,Used in comorbidity summaries,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Abbreviation inferred,needs_review
Liver disease,Liver disease,Comorbidity indicator for liver disease,Used in comorbidity summaries,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Definition inferred from code,needs_review
DM,Diabetes mellitus,Comorbidity category for diabetes,Used in comorbidity summaries,categorical,,No | Yes/Uncomplicated | Yes/Complicated,blank = No,blank,source workbook,recode Complicated Uncomplicated blank,must be one of allowed values,Definition inferred from code,needs_review
Mod-Sev CKD,Moderate severe CKD,Comorbidity indicator for moderate to severe chronic kidney disease,Used in comorbidity summaries,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Abbreviation inferred,needs_review
Solid tumor,Solid tumor,Comorbidity indicator for solid tumor,Used in comorbidity summaries,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Definition inferred from code,needs_review
Leukemia,Leukemia,Comorbidity indicator for leukemia,Used in comorbidity summaries,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Definition inferred from code,needs_review
Lymphoma,Lymphoma,Comorbidity indicator for lymphoma,Used in comorbidity summaries,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Definition inferred from code,needs_review
AIDS,AIDS,Comorbidity indicator for AIDS,Used in comorbidity summaries,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Definition inferred from code,needs_review
Hemiplegia,Hemiplegia,Comorbidity indicator for hemiplegia,Used in comorbidity summaries,categorical,,No | Yes,X = Yes | blank = No,blank,source workbook,recode X/blank,must be No or Yes,Definition inferred from code,needs_review
output.xlsx,Cleaned output workbook,Cleaned analysis table generated by SVH.py,Generated row-level derivative and should stay local,file,xlsx,generated artifact,,not applicable,generated output,written by run_analysis,do not commit,May contain row-level data,reviewed
tables.xlsx,Aggregate tables workbook,Legacy aggregate summary tables generated by SVH.py,Generated aggregate output,file,xlsx,generated artifact,,not applicable,generated output,written by make_tables,review before public release,Previously tracked and now archived as historical output,reviewed
statistical_tests.txt,Statistical tests log,Text output from legacy patient versus surrogate comparisons,Generated text output,file,txt,generated artifact,,not applicable,generated output,stdout redirected from statistical_tests,review before public release,May reveal small-cell aggregate counts,needs_review
code_status_alluvial.html,Code status alluvial HTML,Legacy manually specified alluvial diagram,Generated HTML output,file,html,generated artifact,,not applicable,generated output,written by code_status_alluvial,review before public release,Counts are manually embedded and not dynamically recalculated,needs_review
figures/*.png,Distribution figures,Generated categorical and continuous distribution plots,Generated aggregate figures,file,png,generated artifact,,not applicable,generated output,written by visualizations,review before public release,May reveal small-cell aggregate counts,needs_review
